"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QF","HLF1","3650","0.0000","0.0945","HALL LANE JN TO FOXLOW JN (MILEAGE CHANGE - HALL LANE JN)","HFJ4","","","false","",""
"QF","HLF2","4030","150.1034","150.1408","HALL LANE JN TO FOXLOW JN (MILEAGE CHANGE - FOXLOW JN)","HFJ4","","","false","",""
"QF","HNB","2855","0.0000","2.0025","HENDON BRANCH (RYHOPE GRANGE JN TO SOUTH DOCK)","HFJ1","","","false","",""
"QF","HPC","2877","171.1503","173.0527","HARE PARK JN CROFTON WEST JN","HFJ6","","","false","",""
"QF","HUE","2885","0.0000","0.1155","HUNSLET EAST GOODS","HFJ6","","","false","",""
"QF","HUL1","3566","0.0000","30.0880","HULL STATION - SELBY (1ST PART OF HULL - LEEDS)","HFJ7","","","false","",""
"QF","HUL2","3085","30.0880","31.0264","SELBY - SELBY SOUTH JN (2ND PART OF HULL - LEEDS)","HFJ7","","","false","",""
"QF","HUL3","3083","0.0000","10.1100","SELBY SOUTH JN - AREA BDY MICKLEFIELD (3RD PART OF HULL - LEEDS)","HFJ7","","","false","",""
"QF","HUL4","2881","10.1100","20.1100","AREA BDY MICKLEFIELD TO LEEDS CITY STATION (4TH PART OF HULL - LEEDS)","HFJ6","","","false","",""
"QF","HYM","0","42.1017","43.1322","HEALEY MILLS","HFJ6","","","false","",""
"QF","ILK1","3651","202.0064","208.0000","APPERLEY JN - BURLEY (FORMER JN) (ILKLEY BRANCH)","HFJ6","","","false","",""
"QF","ILK2","3652","208.0000","211.0506","BURLEY - ILKLEY","HFJ6","","","false","",""
"QF","INW","0","104.1693","105.0507","IMMINGHAM DOCK NORTH WEST ENTRANCE","HFJ4","","","false","",""
"QF","JMM","0","0.0000","2.1094","FERRYBRIDGE POWER STATION","HFJ7","","","false","",""
"QF","KES","2898","-0.0009","0.0442","KNOTTINGLEY EAST JN SOUTH JN","HFJ7","","","false","",""
"QF","KIL1","4096","104.0012","105.0220","KILLINGHOLME BRANCH (IMMINGHAM WEST JN (WEST)TO MILEAGE CHANGE)","HFJ4","","","false","",""
"QF","KIL2","4097","0.0000","2.1540","KILLINGHOLME BRANCH (MILEAGE CHANGE TO END OF BRANCH)","HFJ4","","","false","",""
"QF","KWS","2785","58.0450","63.0000","KNOTTINGLEY WEST JN SHAFTHOLME JN","HFJ7","","","false","",""
"QF","LBE1","3657","0.0043","6.1210","LEEDS HOLBECK W JN - COM (LAISTERDYKE)","HFJ6","","","false","",""
"QF","LBE2","4098","190.0595","190.1101","LAISTERDYKE COM - 190M 50CH","HFJ6","","","false","",""
"QF","LBE3","3662","190.1100","191.0770","190M 50CH - 191M 30CH","HFJ6","","","false","",""
"QF","LBE4","6300","191.0660","191.1716","191M 30CH - MILL LANE JN BRADFORD","HFJ6","","","false","",""
